,0
0,6.5787833e-07
1,6.1848164e-07
2,2.6948358e-06
3,1.0279495e-06
4,1.4949562e-07
5,2.037442e-07
6,3.6008748e-07
7,1.1647696e-06
8,7.435633e-07
9,7.2940094e-07
10,4.568832e-07
11,2.5593627e-07
12,5.500562e-07
13,4.6101445e-06
14,1.7255168e-05
15,2.1119931e-05
16,3.8706195e-05
17,4.5558198e-05
18,5.1789484e-05
19,6.144959e-05
20,5.264582e-05
21,5.067476e-05
22,4.169084e-05
23,2.540969e-05
24,6.27926e-05
25,5.5806235e-05
26,2.4095702e-05
27,1.4789219e-05
28,1.0756544e-05
29,1.7349217e-05
30,1.6444365e-05
31,1.4651677e-05
32,1.558852e-05
33,1.5553274e-05
34,1.3226145e-05
41,1.1300179e-05
42,8.086998e-06
43,6.035072e-06
