,0
0,3.2810855
1,1.7235113
2,0.087752976
3,-1.7950629
4,-1.4170148
5,0.760342
6,2.1854913
7,7.448172
8,8.587225
9,7.532754
10,5.982382
11,4.440425
12,2.8354216
13,2.5071704
14,2.4506178
15,1.8781568
16,1.1076772
17,0.32324588
18,-0.0045393007
19,-0.2112962
20,-0.014570308
21,-0.32494956
22,-0.7972777
23,-1.031637
24,-1.142082
25,-1.3070849
26,-1.4711056
27,-1.3653492
28,-1.3180717
29,-1.2766877
30,-1.0930693
31,-1.0036966
32,-0.76870775
33,-0.43581226
34,0.10678919
35,0.70813537
36,0.5519358
37,1.053214
38,1.6748701
39,1.7395658
40,1.7123376
41,1.6928536
42,2.6507516
43,3.7873425
44,4.4549007
45,5.1333156
46,6.698808
47,7.4754987
48,7.5764318
49,7.606891
50,6.983519
51,6.2207217
52,4.341348
