,0
0,-3.7147827
1,-3.9011993
2,-4.072693
3,-4.15419
4,-4.175003
5,-4.1423645
6,-3.8514557
7,-3.8554535
8,-3.9733276
9,-4.4068146
10,-5.3489227
11,-5.5936127
12,-5.9535522
13,-6.280487
14,-6.672165
15,-6.9164886
16,-6.1652374
17,-5.944977
18,-1.8199158
19,0.8501587
20,1.3441315
21,1.7886658
22,1.4001923
23,1.0444946
24,1.2108307
25,1.5426483
26,1.6453094
27,1.9613495
28,2.5404205
29,-1.8329163
30,-8.996323
31,-12.990692
32,-20.761688
33,-22.065063
34,-22.22409
35,-17.663254
36,-13.370407
37,-12.681229
38,-9.29155
39,-4.2212677
40,-4.2170258
41,-6.3418427
42,-5.959549
43,-6.7660522
44,-4.5763397
45,-6.8700104
46,-5.454529
47,-3.8483887
48,-4.899765
49,-4.807892
50,-4.0563354
51,-4.352112
52,-5.148361
53,-5.4001617
54,-5.219528
55,-5.223114
56,-5.032242
57,-5.090042
58,-4.5775757
