,0
0,1.3025761
1,1.2407564
2,1.2697719
3,1.2629989
4,1.5196264
5,1.3249116
6,1.1942089
7,1.2376583
8,0.98872703
9,1.7937998
10,1.8717926
11,1.3725243
12,1.3857955
13,1.3333311
14,1.9382613
15,3.6385586
16,5.63582
17,4.372176
18,4.547261
19,4.877253
20,3.9250555
21,2.9230835
22,3.2670093
23,2.6068604
24,1.6860628
25,1.663498
26,2.4471223
27,3.025352
28,3.7392228
29,3.0067084
30,2.1412096
31,4.475625
32,4.996471
33,4.658787
34,3.4300425
35,3.1556559
36,3.2045856
37,2.9803214
38,3.043503
39,2.2837012
40,1.690236
41,2.0640862
42,3.013041
43,3.3622937
44,2.2096503
45,2.1371045
46,2.2727544
47,2.2547133
48,2.068076
49,1.9279548
50,1.6373405
51,1.3764697
52,1.0573586
53,1.1292719
54,1.198774
55,1.4916445
56,1.6836923
57,1.3735557
58,1.7042364
59,2.091601
60,2.1683807
61,2.1505332
62,2.1958847
63,1.017704
64,1.0703593
65,1.1111016
66,0.8855033
67,0.8825382
68,0.8430921
69,0.8106316
70,0.7446442
71,0.7731256
72,0.7838142
73,0.7630842
74,0.710365
75,0.68569624
76,0.8914796
77,1.0292209
78,1.0147942
79,2.2967958
