,0
0,0.41080457
1,0.32471186
2,-0.28150296
3,-0.3794943
4,-0.2405499
5,-0.24041922
6,-0.17503749
7,-0.05760523
8,0.4783998
9,0.94122005
10,0.80450445
11,-1.6708536
12,-2.352799
13,-1.6948345
14,-0.44359592
15,-0.33111325
16,-0.14309946
17,0.007637004
18,-0.1800775
19,-0.3511737
20,0.65590715
21,0.25810075
22,0.17709482
23,-0.2288666
24,-0.23066425
25,1.1129236
26,-0.09982689
27,-0.0825412
28,0.35145298
29,0.27847442
30,-0.5778645
31,0.18731318
32,2.2812843
33,0.6529653
34,-0.8325366
35,-0.7719108
36,-0.2756377
37,0.3040493
38,0.7157839
39,1.028327
40,1.1515938
41,0.15011401
42,0.5147004
43,0.37511373
44,-0.125101
45,-0.028703203
46,0.37006184
47,0.42047486
48,-0.5818185
49,-0.41865996
50,0.38448757
