,0
0,1.7564683
1,1.8228459
2,2.1440334
3,2.0230134
4,1.634523
5,1.8557426
6,1.9890199
7,1.9334581
8,1.6992699
9,1.7543341
10,1.8866066
11,1.9697019
12,2.0862434
13,2.157247
14,2.24417
15,2.1019485
16,2.1430435
17,2.0804129
18,2.0762765
19,2.3042724
20,2.556793
21,2.76276
22,2.0441191
23,2.4960437
24,2.5260684
25,2.487372
26,2.5459619
27,2.6276305
28,2.5536845
29,2.593762
30,2.6400855
31,2.6842997
32,2.2426684
33,1.7803429
34,1.4047525
35,1.3115305
36,1.352748
37,1.3793634
38,1.4266233
39,1.5170556
40,1.6760758
41,1.8239908
42,1.9363605
43,1.9245397
44,1.7628922
45,1.7243276
46,0.8566305
47,0.6524033
48,0.8066768
