,0
0,295.39005
1,295.95718
2,296.01907
3,295.99747
4,294.85483
5,294.6631
6,293.84158
7,293.8844
8,294.1048
9,294.3281
10,294.14386
11,292.64825
12,291.9848
13,290.95023
14,289.9278
15,289.33148
16,288.34888
17,288.5483
18,288.3688
19,288.19073
20,287.40704
21,287.01306
22,285.75485
23,283.76587
24,282.77283
25,281.4616
26,281.10406
27,280.83362
28,280.25513
29,280.70807
30,281.26727
31,280.8753
32,281.58868
33,281.67773
34,281.71777
35,281.39246
36,281.81433
37,282.02103
38,281.83636
39,282.1812
40,282.0612
41,281.89578
42,281.84518
43,281.18573
44,281.86365
45,282.16193
46,282.3684
47,282.61194
48,282.64508
49,282.61694
