,0
0,5.6764646
1,2.485311
2,2.5142574
3,2.2929108
4,3.1371667
5,3.3297596
6,2.8307369
7,1.6054004
8,1.3797268
9,2.1058905
10,5.1462336
11,3.432669
12,3.113815
13,8.270987
14,5.836238
15,5.131008
16,3.926844
17,1.2604232
18,1.3823674
19,3.0722547
20,2.1055334
21,2.2119997
22,2.1359773
23,2.2488658
24,2.3915193
25,4.5032916
26,3.3422503
27,3.4359376
28,3.2337508
29,4.152407
30,5.322221
31,5.562995
32,2.8887172
33,2.885541
34,2.9772067
35,3.592176
36,3.4083734
37,3.7748394
38,3.117689
39,2.3769677
40,2.7715724
41,3.3424737
42,3.3868399
43,3.0723116
44,2.73432
45,1.3749545
