,0
0,-0.013889724
1,0.07278573
2,0.13874415
3,0.05131627
4,-0.25095826
5,-0.21792683
6,-0.21974577
7,-0.20082396
8,-0.06414664
9,0.1524235
10,0.175949
11,0.16369937
12,0.07495692
13,0.054920685
14,0.058662925
15,0.092786625
16,0.12137474
17,0.13808742
18,0.15382324
19,0.17695498
20,0.23426007
21,0.2247276
22,0.2878122
23,0.34351584
24,0.40497413
25,0.44816163
26,0.56316686
27,0.7933617
28,1.0522319
29,0.8745546
30,0.21286547
31,-0.021388764
32,0.01928633
33,0.13658123
34,0.28237855
35,0.32095966
36,0.46121714
37,0.48557594
38,0.38493517
39,0.47942314
40,0.6435861
41,0.69263834
42,0.8180863
43,1.0409123
44,1.2033976
45,1.1634678
46,0.9769707
47,0.35526815
48,0.21601072
49,0.105463244
50,0.045592416
51,0.0036901275
52,-0.10453144
53,-0.13544829
54,-0.20436017
55,-0.22002776
56,-0.20442937
57,-0.16516526
58,-0.18076313
59,-0.120198056
60,-0.07597195
61,-0.0001776964
62,0.16656248
63,0.26816696
64,0.3581213
65,0.37591422
66,0.4374083
67,0.48923331
68,0.47877207
69,0.586985
70,0.774908
71,1.0058386
72,1.0661659
73,0.96305823
74,0.7972439
75,0.68248975
76,0.877665
77,0.7411494
78,1.0605977
79,0.86911494
80,1.2444373
81,0.87659764
82,0.5252097
83,0.7095143
84,1.0103734
85,1.1000943
86,1.1050826
87,1.1302372
88,1.1927471
89,1.3295994
90,1.1847557
91,0.95330006
92,0.52981484
93,1.003752
94,1.2075002
95,1.2434955
96,1.167246
97,0.9947243
98,0.73195064
99,0.675892
100,0.9284396
