,0
0,54942.016
1,54278.766
2,53802.21
3,53360.047
4,52854.008
5,52382.367
6,52008.984
7,51704.375
8,51380.125
9,51031.305
10,50716.875
11,50196.1
12,49650.766
13,49139.82
14,48746.78
15,48476.57
16,48334.094
17,48157.227
18,48073.703
19,48093.36
20,48211.273
21,48245.664
22,48324.266
23,48447.094
24,48491.305
25,48707.477
26,48908.906
27,48894.17
28,48584.656
29,48373.4
30,48339.008
31,48334.094
32,48319.35
33,48294.79
34,48309.53
35,48353.742
36,48363.57
37,48348.836
38,48348.836
39,48383.227
40,48378.312
41,48422.523
42,48496.22
43,48638.695
44,48761.523
