,0
0,0.3445129
1,0.2735407
2,0.23157987
3,0.24241306
4,0.24772961
5,0.26894087
6,0.31332335
7,0.32176715
8,0.27185175
9,0.21998988
10,0.23535936
11,0.23201858
12,0.2842181
13,0.3457232
14,0.39108276
15,0.40831605
16,0.40669876
17,0.41866818
18,0.43302193
19,0.4356574
20,0.40675023
21,0.38883033
22,0.4073825
23,0.41211444
24,0.43689993
25,0.42105097
26,0.3892538
27,0.4029768
28,0.39961144
29,0.41234156
30,0.44227633
31,0.4217636
32,0.40220237
33,0.3817596
34,0.33335736
35,0.36297783
36,0.3318762
37,0.30742466
38,0.32921314
39,0.34151626
40,0.34897837
41,0.36263722
42,0.37119022
43,0.40092537
44,0.38719803
45,0.37963748
46,0.38427526
47,0.38434696
48,0.38302034
49,0.40291107
50,0.40437433
51,0.40908232
52,0.39009073
53,0.3948693
54,0.36673334
55,0.33222654
56,0.28862402
57,0.31019893
58,0.41027114
59,0.38783488
60,0.40691817
61,0.395131
62,0.38920978
