,0
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,0.9671936
13,0.8804016
14,0.80999756
15,0.18383789
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.60565186
22,1.0
23,0.999176
24,1.0
25,1.0
26,1.0
27,0.9817505
28,0.9933777
29,0.97891235
30,0.9579773
31,0.9737549
32,0.9700012
33,1.0
34,1.0
35,1.0
36,0.97610474
37,0.980011
38,0.98999023
39,0.995636
40,0.980011
41,1.0
42,0.9787903
43,0.9924011
44,0.9543762
45,0.98999023
46,0.99890137
47,1.0
48,1.0
49,1.0
50,1.0
51,1.0
52,1.0
53,1.0
