,0
0,-2.39293
1,-1.9623038
2,-1.6404464
3,-1.0598769
4,-0.2943057
5,0.35016054
6,0.6079698
7,1.4402276
8,1.7706689
9,1.3931468
10,1.1182982
11,1.6380258
12,1.8327736
13,1.3253758
14,-0.8689064
15,-2.4401028
16,-3.5799212
17,-3.9923565
18,-3.5455186
19,-13.635029
20,-7.0311728
21,-3.9710245
22,-2.7690742
23,-2.1520863
24,-1.0500122
25,-0.40872937
26,-0.28096968
27,-0.17256539
28,-0.46635032
29,-0.48766395
30,-0.5376883
31,-0.46292812
32,-0.10911356
33,-0.058277033
34,0.3324697
35,-0.14200619
36,-1.4455764
37,-1.1927814
38,-0.5658696
39,0.102714494
40,1.1996157
41,1.1999099
42,-0.25815335
