,0
0,0.00013397807
1,0.00016359896
2,0.00022197973
3,0.00024075463
4,0.00030304576
5,0.00015263421
6,0.00017830014
7,0.00017160884
8,0.00011005096
9,8.966685e-05
10,3.774083e-05
11,4.5551733e-05
12,3.3910725e-05
13,3.240999e-05
14,2.4992507e-05
15,3.2270204e-05
16,3.8136655e-05
17,3.4190798e-05
18,4.5123823e-05
19,5.1162668e-05
20,4.3971722e-05
21,2.9383771e-05
22,3.077355e-05
23,1.2627997e-05
24,5.725561e-06
25,2.48717e-05
26,2.5727679e-05
27,2.5482204e-05
28,8.196262e-06
29,2.8997136e-05
30,2.5852007e-05
31,2.8932767e-05
32,2.4567931e-05
