,0
0,2.3475848e-05
1,7.2941184e-05
2,1.5649945e-05
3,0.00028980803
4,0.00038063526
5,0.00037616398
6,0.0003356412
7,0.000368339
8,0.00071096607
9,0.0014557475
10,0.00091357995
11,0.0008752933
12,0.0008096183
13,0.0009705918
14,0.00078362785
15,0.0009968616
16,0.0008054264
17,0.0006701639
18,0.00071124546
19,0.0010122322
20,0.00094208587
21,0.0011516865
22,0.0008744551
23,0.001605263
24,0.0024115276
25,0.0024629496
26,0.0023391452
27,0.0019389475
28,0.0020158011
29,0.002062752
30,0.0019509648
31,0.0019112802
32,0.002133457
33,0.0023799478
34,0.0023455732
35,0.0017503067
36,0.0015010214
37,0.0018162611
38,0.0011706902
39,0.00090938807
40,0.00051673595
41,0.000660941
42,0.0005312683
43,0.00037951767
44,0.00031216536
45,0.0011474947
46,0.00071348157
47,0.00064920355
48,0.00088954624
49,0.00028813165
50,0.00012883451
51,0.00021686684
52,0.0002668919
53,0.00024509337
54,0.0003060177
55,0.00021183677
56,0.00016879849
57,0.00012883451
58,0.00012576021
59,0.000114860944
60,0.00013833679
61,0.00016320962
62,0.0002012169
63,0.00024844706
64,0.00025124196
65,0.00010396261
66,0.0001738295
67,0.00019674562
68,0.00020317361
69,0.00024118088
70,0.0001981426
71,0.00015454553
72,0.00015454553
73,0.00014280807
74,0.000120171346
75,0.000137778
76,0.00012855511
77,0.0001408523
78,0.00019478891
79,0.00016991701
80,0.00013386551
81,0.00011374336
82,0.00015175156
83,9.362213e-05
84,9.362213e-05
85,9.9211e-05
86,0.00011681765
87,0.00010535959
88,8.9989044e-05
89,6.4836815e-05
90,5.5055134e-05
91,5.7011843e-05
92,7.713307e-05
