,0
0,323.42102
1,330.63245
2,388.52533
3,418.0677
4,414.2136
5,396.35114
6,426.33185
7,437.46292
8,425.1732
9,442.86237
10,401.3629
11,407.1742
12,472.64716
13,503.86633
14,475.06702
15,363.24072
16,301.6407
17,257.5443
18,229.22707
19,206.60432
20,210.93463
21,183.09361
22,223.73737
23,374.01044
24,426.9403
25,371.71176
26,304.33115
27,267.2853
28,205.46173
29,203.01137
30,162.03157
31,141.54361
32,133.56828
33,189.22115
34,258.15427
35,417.52908
36,704.4156
37,718.27545
38,711.6944
39,708.6264
40,688.32874
41,667.6877
42,615.66113
43,597.3527
44,629.44934
45,663.06964
46,693.90735
47,677.54034
48,667.60516
49,638.06384
50,634.9773
51,602.79285
52,601.7688
53,594.92053
54,586.86725
55,602.82733
56,479.2247
57,369.42944
58,379.5404
59,389.28845
60,471.37286
61,377.8441
62,293.49054
63,225.29253
64,103.74453
