,0
0,-11.117966
1,-13.001892
2,-9.822769
3,-12.538773
4,-18.292603
5,-19.281662
6,-20.812363
7,-14.697433
8,-13.221695
9,1.4101562
10,1.2453156
11,1.9831848
12,2.7524567
13,4.5971375
14,11.889526
15,18.671677
16,10.939713
17,7.5329285
18,3.8828278
19,3.2312927
20,0.6487427
21,0.94703674
22,-3.3860016
23,-4.8695984
24,-2.569641
25,-4.359375
26,-3.9747314
27,-6.886978
28,-7.3422546
29,-5.5917816
30,-5.685974
31,-5.842972
32,-3.1897583
33,-5.191437
34,-4.6812134
35,-6.525894
36,-4.0296783
37,-2.860077
38,-3.6685944
