,0
0,-39.33076
1,-51.779644
2,-54.439228
3,-54.112194
4,-62.304493
5,-67.0332
6,-77.32866
7,-83.46373
8,-91.21542
9,-92.60701
10,-89.788445
11,-87.68143
12,-80.0273
13,-81.09629
14,-77.872925
15,-73.51611
16,-69.56825
17,-67.34041
18,-63.42862
19,-60.933517
20,-54.9843
21,-53.805576
22,-52.78437
23,-45.82154
24,-46.45991
25,-44.81812
26,-43.35522
27,-44.08586
28,-34.34937
29,-26.29431
30,-33.25414
31,-39.257904
32,-42.490837
33,-35.276844
34,-27.771124
35,-24.270334
36,-22.088753
37,-18.681103
38,-14.167753
39,-14.1674795
40,-18.892902
41,-9.530374
42,-6.287715
43,-6.746689
44,-5.943622
45,-5.528055
46,-8.530257
47,-18.528782
48,-28.879148
49,-21.781313
50,-19.876165
51,-18.08857
52,-14.790046
53,-13.094541
54,-16.083757
55,-27.308123
56,-27.634115
57,-26.699352
58,-32.355366
59,-31.679125
60,-26.665796
61,-20.821907
62,-22.375713
