,0
0,-192.35136
1,-198.34663
2,-204.37567
3,-211.55872
4,-220.71205
5,-238.60214
6,-254.04346
7,-247.73296
8,-243.85995
9,-248.88133
10,-246.60146
11,-244.26527
12,-238.46141
13,-237.0428
14,-246.7253
15,-246.8604
16,-256.9651
17,-260.12317
18,-265.36407
19,-286.12515
20,-270.65005
21,-245.83586
22,-270.32355
23,-264.18756
24,-255.33821
25,-266.41113
26,-255.63657
27,-245.53188
28,-207.7026
29,-202.79944
30,-201.86497
31,-178.21043
32,-199.1854
33,-213.21939
34,-225.5758
35,-234.23376
36,-246.47197
37,-245.84149
38,-250.7559
39,-248.27336
40,-239.73927
41,-237.57759
42,-231.89195
43,-234.02547
44,-223.58865
45,-220.44185
46,-224.54001
47,-215.79199
48,-216.67581
49,-210.75935
50,-227.32654
51,-235.06691
52,-236.62624
53,-239.0187
54,-234.48145
55,-231.9595
56,-229.28555
57,-223.46481
58,-240.72441
59,-234.35197
60,-233.49069
61,-240.76944
62,-241.47874
63,-223.38599
64,-226.30763
65,-224.19662
66,-209.36328
67,-220.43622
68,-227.36595
69,-234.05362
