,0
0,-1.1007965
1,-0.8921703
2,0.07093386
3,-0.08313136
4,0.7134769
5,-0.058461126
6,-0.4370077
7,-0.33166593
8,-0.79590315
9,-0.8244917
10,2.1465802
11,0.78353864
12,-0.49401402
13,-0.9826335
14,-1.3140715
15,-1.4024036
16,-1.4840658
17,-1.4115463
18,-0.8934732
19,-0.44158456
20,-1.1127504
21,0.7645405
22,-0.45826066
23,-0.79948425
24,0.1739311
25,0.9164771
26,-0.9373205
27,-1.1930064
28,0.3935781
29,-0.6480151
30,-0.75447506
31,-0.31633803
32,2.0244555
33,-0.3403089
34,-0.6255801
35,0.17098401
36,1.3956467
