,0
0,8.384939
1,9.709112
2,5.5174336
3,4.2449975
4,3.1890283
5,8.802507
6,10.438366
7,24.484837
8,0.02353343
9,-0.43802568
10,3.2929444
11,0.9674853
12,2.4193323
13,5.6700726
14,3.4515154
15,7.3098826
16,1.8006848
17,2.3871508
18,2.136357
19,1.1105545
20,0.5869983
21,0.37082383
22,1.7327412
23,6.0023503
24,4.478329
25,4.223146
26,6.753852
27,4.5669923
28,1.9141705
29,0.9272639
30,0.48376778
31,1.8778148
32,1.7806497
33,1.3661996
34,1.825681
35,1.0987473
36,0.22322024
37,8.685365
38,19.24519
39,39.46155
40,20.597763
41,10.326228
42,4.5953517
43,7.031383
44,4.9611278
45,6.431926
46,5.39476
47,4.7591724
48,4.177028
49,1.898845
50,0.87019545
51,0.3834439
52,0.30596063
53,4.4271717
54,2.1723685
55,-0.4235367
56,-0.4867014
57,-0.10910443
58,-0.2603946
59,-0.49052995
60,-0.8116396
61,-0.5974144
62,-0.51589626
63,2.3638208
64,2.5880227
65,2.2431517
66,1.894883
67,2.283113
68,0.6170216
69,4.4011292
70,1.8375086
71,1.0946819
72,1.189434
73,0.15482284
74,-0.386656
75,-0.059928585
76,1.3148185
77,3.8269138
78,6.3313484
79,7.75835
