,0
0,-0.40047508
1,0.37817597
2,0.5165949
3,-0.052833874
4,0.14083637
5,0.6419145
6,0.42364362
7,-0.5609445
8,0.27511254
9,0.21829677
10,-0.51918983
11,-0.27106407
12,-0.010340935
13,0.36605796
14,-0.027955394
15,0.17746885
16,0.2500002
17,0.7921353
18,0.16154838
19,0.82135534
20,0.6985299
21,1.678332
22,1.2680421
23,1.8577099
24,1.6537465
25,0.6597434
26,0.37417856
27,0.39465657
28,0.69478095
29,-0.19273353
30,-0.7242952
31,-0.058199078
32,0.1009095
33,0.4834022
34,-0.3884556
35,0.645996
36,0.6202121
37,0.42129543
38,1.43829
39,2.5403662
40,3.8659122
