,0
0,-0.008837816
1,-0.007037743
2,-0.0060059503
3,-0.0059994888
4,-0.0046252003
5,-0.003322715
6,-0.0026305448
7,-0.0023605702
8,-0.0022693817
9,-0.0020776708
10,-0.0021042367
11,-0.0021200338
12,-0.0016870685
13,-0.0016267551
14,-0.0017976435
15,-0.0014946396
16,-0.001044442
17,-0.0009776661
18,-0.0006322991
19,-0.00043484382
20,-0.00048223324
21,-0.00044346042
22,-0.00050951727
23,-0.000741438
24,-0.0015894175
25,-0.0014371974
26,-0.0012038415
27,-0.00067179
28,-0.0003723763
29,-0.00029841997
30,-0.00027113594
31,-0.00015194435
32,-0.00017061271
33,-0.00019287132
34,-0.00018712692
35,-0.0001483541
36,-0.00020076986
37,-0.00023882464
38,-0.00017994735
39,-0.00012968574
40,-0.00021441188
41,-0.0002618013
42,-0.00014045648
43,-0.00010742713
44,-9.737536e-05
