,0
0,-0.0001273396
1,-0.00022794899
2,-0.0001913645
3,-0.00017138194
4,-7.4352676e-05
5,-4.0020306e-05
6,8.0207166e-05
7,0.00021800131
8,0.00019703926
9,0.00015067411
10,0.00018173354
11,6.920931e-05
12,3.586659e-05
13,9.120764e-06
14,-7.365107e-05
15,-3.1598945e-06
16,0.0002237137
17,0.00011140742
18,0.00012843056
19,0.00014707998
20,0.00020496106
21,0.00022041843
22,0.00021707089
23,0.00010821283
24,1.0237231e-05
25,-1.4265413e-05
26,-1.1804963e-05
27,-3.0118552e-05
28,-4.4413555e-05
29,-1.9221356e-05
30,-2.0102081e-05
31,-1.4772038e-05
32,-2.0632282e-05
33,-2.3476365e-05
34,-3.46603e-05
35,-3.7501188e-05
36,-2.6744243e-05
37,-2.1224292e-05
38,-3.6407666e-05
39,-1.4861251e-05
40,-1.4283261e-05
41,-1.3841627e-05
42,-1.2775501e-05
43,-1.7985745e-05
